window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.00000000000001,4999281.64062988,0.7887096506796007,2.4072031835385834,0.06,0.26,0.15000000000000002,4.1934235701759416e-05,5.12267389592812e-06,9.348017748707403e-06,2.7463544057123894e-05,4.1005611167482165e-07,0.0,0.08844720705529009,0.04485746741351908,0.08117498570601284,52.516752733999965,620
1,250.0,600.0,350.0,4999281.64062988,0.7887096506796007,2.4072031835385834,4999487.194634385,0.001945233188831395,0.005927735574667703,0.06,0.26,0.15000000000000002,4.5946611032181216e-07,7.1925132502517365e-09,1.5028838398205708e-07,3.0198521308950334e-07,2.3972524808266365e-07,0.0,0.0032686979914913934,5.00383643787311e-05,5.713475944387903e-05,53.79165080200005,750
2,600.0,1090.0,490.0,4999487.194634385,0.001945233188831395,0.005927735574667703,4999685.382624219,4.28934073273522e-07,1.306617581037418e-06,0.06,0.26,0.15000000000000002,2.2835830297798471e-07,9.529752520351102e-09,9.120707264663262e-08,1.27621477811001e-07,7.953961574863718e-08,0.0,0.0024692596003909884,2.0061900295731987e-08,6.568865945958575e-08,56.87754223799993,750
3,1090.0,1776.0,686.0,4999685.382624219,4.28934073273522e-07,1.306617581037418e-06,4999841.536700027,4.992654681698754e-09,1.3615315053915431e-08,0.06,0.26,0.15000000000000002,7.864580007973579e-07,5.68459228380427e-10,5.02091785456434e-07,2.837977561125435e-07,4.8833826357665733e-08,0.0,0.0003696175689580064,4.181298805571464e-10,2.3333394615198146e-10,58.561073136000005,743
4,1776.0,2736.3999999999996,960.3999999999996,4999841.536700027,4.992654681698754e-09,1.3615315053915431e-08,4999939.346339755,2.8399130710902524e-09,7.743046267470065e-09,0.06,0.26,0.15000000000000002,2.3463759749310766e-08,6.402088453806497e-11,5.9760598167115854e-09,1.7423679048061114e-08,4.262282754208228e-11,0.0,6.112544383163148e-05,4.711639737594974e-10,2.1151407935236918e-10,51.88496236700007,682
5,2736.3999999999996,4080.959999999999,1344.5599999999995,4999939.346339755,2.8399130710902524e-09,7.743046267470065e-09,4999984.1917515015,2.0865789229862074e-09,5.694426135500551e-09,0.06,0.26,0.15000000000000002,6.045342647784186e-08,5.741753729575702e-10,2.1566882632079328e-08,3.8312368472804954e-08,1.3945151998754446e-09,0.0,6.786233764194998e-05,4.036195200677813e-10,1.8513538368989518e-10,51.752030719000004,750
6,4080.959999999999,5963.343999999998,1882.383999999999,4999984.1917515015,2.0865789229862074e-09,5.694426135500551e-09,4999997.593467335,1.529620907351204e-09,4.167944427817012e-09,0.06,0.26,0.15000000000000002,3.4566723971417256e-08,3.7465859612897386e-10,1.703151654575114e-08,1.7160548829537143e-08,7.804339575969421e-11,0.0,1.123817617288093e-05,3.460057290360141e-10,1.609952271081053e-10,51.21575682899993,709
7,5963.343999999998,8598.681599999996,2635.337599999998,4999997.593467335,1.529620907351204e-09,4.167944427817012e-09,4999999.827577544,1.1118993925303656e-09,3.0223367983468327e-09,0.06,0.26,0.15000000000000002,2.9050004542914847e-08,6.759864956786311e-10,1.3967876254321699e-08,1.4406141792914515e-08,5.103944599925585e-10,0.0,2.0735622790798362e-06,2.972705363846674e-10,1.3942261176700848e-10,50.343933676000006,688
8,8598.681599999996,11598.681599999996,3000.0,4999999.827577544,1.1118993925303656e-09,3.0223367983468327e-09,4999999.991393691,9.741423073799082e-10,2.6707653297849748e-09,0.06,0.26,0.15000000000000002,2.6880928816568823e-08,1.583921686934125e-09,1.4243409654990074e-08,1.1053597474644625e-08,1.6363206997380224e-09,0.0,1.7551444183341716e-07,2.8054740785604946e-10,1.3186789471163738e-10,50.271712079000054,658
9,11598.681599999996,14598.681599999996,3000.0,4999999.991393691,9.741423073799082e-10,2.6707653297849748e-09,4999999.999571268,9.780699641482197e-10,2.6640837720881015e-09,0.06,0.26,0.15000000000000002,2.0907694540369026e-08,4.5927096541417e-10,1.1256950503046597e-08,9.191473071908258e-09,5.368675470344242e-10,0.0,7.674663668757206e-09,2.8070919583572103e-10,1.3182023052434533e-10,48.92572695500007,637
10,14598.681599999996,17598.681599999996,3000.0,4999999.999571268,9.780699641482197e-10,2.6640837720881015e-09,4999999.99997836,9.825292677486546e-10,2.6647702680320057e-09,0.06,0.26,0.15000000000000002,2.8771611461698472e-08,7.367653502763871e-10,1.9961174549591586e-08,8.0736715618305e-09,8.30658773125228e-10,0.0,4.734527499014996e-10,2.805003674235298e-10,1.318461273441357e-10,49.9733213329996,679
11,17598.681599999996,20000.0,2401.3184000000037,4999999.99997836,9.825292677486546e-10,2.6647702680320057e-09,4999999.999997684,1.2119374379385154e-09,3.3154872823533888e-09,0.06,0.26,0.15000000000000002,4.7832730042620834e-08,7.439836630156583e-09,1.53094813048448e-08,2.508341210761945e-08,2.78267292554124e-09,0.0,6.777764294441836e-11,3.099558829645216e-10,1.450520562607304e-10,43.66849190399989,414
