window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.00000000000001,4999276.407004544,0.7913501304785557,2.4095282304504577,0.06,0.26,0.15000000000000002,2.629186619566353e-05,5.188800592639786e-06,3.4899965162485797e-06,1.7613069086775162e-05,6.151274163266393e-07,0.0,0.0892208388790446,0.021558801706340933,0.06620789557936307,49.8891836329999,621
1,250.0,600.0,350.0,4999276.407004544,0.7913501304785557,2.4095282304504577,4999484.228069149,0.0019581893260567974,0.00596643936536439,0.06,0.26,0.15000000000000002,3.6269361705841083e-07,1.176969559205605e-08,6.093144505426471e-08,2.899924764120901e-07,1.7142978445226946e-07,0.0,0.003984207988416153,1.536574497259564e-05,6.130886359575299e-05,51.05228516999978,750
2,600.0,1090.0,490.0,4999484.228069149,0.0019581893260567974,0.00596643936536439,4999684.196951793,4.3420567507305654e-07,1.3225258012379885e-06,0.06,0.26,0.15000000000000002,3.362296833758874e-07,2.1889926233646662e-08,4.3016154958340854e-08,2.7132360218389987e-07,2.1726614039049663e-07,0.0,0.003340282849762594,3.536855731937363e-08,9.833552047461413e-08,51.18093567699998,750
3,1090.0,1776.0,686.0,4999684.196951793,4.3420567507305654e-07,1.3225258012379885e-06,4999840.973384989,4.987584530895771e-09,1.3611447579291764e-08,0.06,0.26,0.15000000000000002,9.88281066338575e-07,1.0468894311515388e-09,6.202849006103817e-07,3.6694927629704186e-07,6.158348231468986e-08,0.0,0.0004666903892466328,4.177662434302994e-10,2.327532149612097e-10,50.08937521600001,750
4,1776.0,2736.3999999999996,960.3999999999996,4999840.973384989,4.987584530895771e-09,1.3611447579291764e-08,4999939.124986442,2.840384581422474e-09,7.741767608478697e-09,0.06,0.26,0.15000000000000002,3.490944720494331e-08,3.102733081946796e-10,1.544199276348227e-08,1.9157181133266363e-08,1.1987309671475392e-10,0.0,0.0001417794705595956,4.711059888044752e-10,2.1156954834501517e-10,51.36294537499998,738
5,2736.3999999999996,4080.959999999999,1344.5599999999995,4999939.124986442,2.840384581422474e-09,7.741767608478697e-09,4999984.1313680215,2.088937139842875e-09,5.698998988239328e-09,0.06,0.26,0.15000000000000002,5.387001061227694e-08,2.9175070578907275e-10,1.8241803748278334e-08,3.5336456158209535e-08,6.738474584142876e-10,0.0,4.616695932449996e-05,4.0363446340671233e-10,1.8513497018440306e-10,50.19166236700039,691
6,4080.959999999999,5963.343999999998,1882.383999999999,4999984.1313680215,2.088937139842875e-09,5.698998988239328e-09,4999997.582336434,1.5272650794012956e-09,4.157760289395751e-09,0.06,0.26,0.15000000000000002,5.727148550043162e-08,1.964648319244976e-09,2.2625004105930325e-08,3.268183307525632e-08,1.5516477397532495e-09,0.0,2.848351917805983e-05,3.4596679839161147e-10,1.6078342625418667e-10,52.52336431599997,750
7,5963.343999999998,8598.681599999996,2635.337599999998,4999997.582336434,1.5272650794012956e-09,4.157760289395751e-09,4999999.826618129,1.107866622028585e-09,3.020219505970187e-09,0.06,0.26,0.15000000000000002,3.853549442853477e-08,3.7858778406287084e-10,2.162000654274346e-08,1.6536900101728444e-08,1.1034698725374948e-09,0.0,1.301554240346602e-06,2.9719621990886143e-10,1.3941170877880028e-10,51.32210632599981,750
8,8598.681599999996,11598.681599999996,3000.0,4999999.826618129,1.107866622028585e-09,3.020219505970187e-09,4999999.991371056,9.766935062183484e-10,2.6715608311741643e-09,0.06,0.26,0.15000000000000002,3.702247317627984e-08,1.0847465153453195e-09,1.7140454747136508e-08,1.8797271913798013e-08,1.1806046249460937e-09,0.0,2.1285488529595057e-07,2.806022932012944e-10,1.318521584884738e-10,51.083775595000134,659
9,11598.681599999996,14598.681599999996,3000.0,4999999.991371056,9.766935062183484e-10,2.6715608311741643e-09,4999999.999569984,9.759889689801721e-10,2.667879472502728e-09,0.06,0.26,0.15000000000000002,5.2050358395639926e-08,3.8076460166929556e-10,2.5277832266329753e-08,2.6391761527640873e-08,5.716226070900622e-10,0.0,7.482718121676532e-09,2.805173918474634e-10,1.3187987277459534e-10,50.19104150599969,656
10,14598.681599999996,17598.681599999996,3000.0,4999999.999569984,9.759889689801721e-10,2.667879472502728e-09,4999999.999978383,9.78039429275472e-10,2.673987728558936e-09,0.06,0.26,0.15000000000000002,5.544192127911633e-08,4.726483815385925e-09,3.0278848787416274e-08,2.043658867631413e-08,1.3253809621471534e-09,0.0,9.55857234572375e-10,2.80366157595307e-10,1.318004818382003e-10,53.94870075400013,705
11,17598.681599999996,20000.0,2401.3184000000037,4999999.999978383,9.78039429275472e-10,2.673987728558936e-09,4999999.999997696,1.2167655085423907e-09,3.3123687198355287e-09,0.06,0.26,0.15000000000000002,5.677267152152594e-08,2.943235896433605e-09,2.4518247914652902e-08,2.931118771043944e-08,1.3701453824446163e-09,0.0,2.8475641014946985e-11,3.0956626063204295e-10,1.451129135255307e-10,54.40431622300002,751
