window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.00000000000001,4993757.607129998,474.54657366590413,848.7004559083404,0.06,0.161,0.15000000000000002,1.7777369209430826e-05,5.443266473889975e-06,4.513211001367969e-06,7.820891734172883e-06,1.451559089169321e-06,0.0,0.33828707062712654,0.08717047753262305,0.1644934524643658,54.11778241100001,615
1,250.0,600.0,350.0,4993757.607129998,474.54657366590413,848.7004559083404,4942659.891122811,3697.7493369910712,6645.631822153487,0.06,0.161,0.15000000000000002,1.2320471109713592e-07,3.513833805964283e-08,2.2467147482409595e-08,6.55992255550835e-08,6.880163089147861e-08,0.0,0.20986803772342083,0.03183611346133787,0.06990007481553843,58.323212860999774,750
2,600.0,1090.0,490.0,4942659.891122811,3697.7493369910712,6645.631822153487,4367037.5209599985,25562.826244365362,49778.759233382916,0.06,0.161,0.15000000000000002,6.816505729913548e-08,3.4819620866185864e-09,3.524681552938558e-08,2.9436279683131307e-08,8.059186769673925e-10,0.0,1.2780361132666898,0.34605876261591434,0.4594508398255556,52.57105080200017,750
3,1090.0,1776.0,686.0,4367037.5209599985,25562.826244365362,49778.759233382916,3833090.852924729,5195.355397710768,11069.443333082325,0.06,0.161,0.15000000000000002,1.4491179029594765e-07,3.6304732769082597e-08,5.811039974484822e-08,5.049665778201683e-08,1.4209756623658113e-08,0.0,8.845420575841109,0.9216522783231093,1.3212998950243868,51.33657130500069,750
4,1776.0,2736.3999999999996,960.3999999999996,3833090.852924729,5195.355397710768,11069.443333082325,4313860.441142903,2014.475333348599,3964.463795676512,0.06,0.161,0.15000000000000002,4.843405264110813e-08,4.421327586965757e-09,1.6415852516408296e-08,2.7596872537734077e-08,1.1015112936325233e-09,0.0,3.0788564001261216,0.062404311824606824,0.1572290480842392,58.804319791000125,750
5,2736.3999999999996,4080.959999999999,1344.5599999999995,4313860.441142903,2014.475333348599,3964.463795676512,4198738.466917522,11091.299335416405,22205.55071653109,0.06,0.161,0.15000000000000002,1.195803433741524e-07,1.839612813288323e-08,2.5503661584074063e-08,7.56805536571951e-08,5.455066561240628e-09,0.0,4.633129795745451,0.1499585841619992,0.6042807905442146,57.29701634899993,729
6,4080.959999999999,5963.343999999998,1882.383999999999,4198738.466917522,11091.299335416405,22205.55071653109,4255717.986566938,5947.118403783375,11805.636736180319,0.06,0.161,0.15000000000000002,6.458728022673997e-07,4.2255863104435303e-07,7.700084121570143e-08,1.4631333000734518e-07,1.8234474242648204e-07,0.0,28.161870421086405,0.359546461868197,0.8857350118209726,55.03262167399953,751
7,5963.343999999998,8598.681599999996,2635.337599999998,4255717.986566938,5947.118403783375,11805.636736180319,4215180.102172146,6331.6807291821215,12649.969762621304,0.06,0.161,0.15000000000000002,2.573499457821699e-07,8.021641636169062e-08,6.50411392221024e-08,1.1209239019837684e-07,5.556312889708907e-07,0.0,11.27044700483111,0.2524694302166984,0.6195135801428833,55.86176560700005,751
8,8598.681599999996,11598.681599999996,3000.0,4215180.102172146,6331.6807291821215,12649.969762621304,4210523.752964062,6599.853359195882,13195.426736393214,0.06,0.161,0.15000000000000002,1.059482104736245e-07,6.405447482845524e-08,1.1590477933826444e-08,3.030325771134282e-08,2.986072298854119e-08,0.0,10.049068580213982,0.11136357811549895,0.3348388627792447,56.61913826299951,751
9,11598.681599999996,14598.681599999996,3000.0,4210523.752964062,6599.853359195882,13195.426736393214,4207795.625103494,6602.688021480557,13206.66325167228,0.06,0.161,0.15000000000000002,3.7837049701389424e-09,5.106842868898077e-10,1.5834430045555572e-09,1.6895776786935777e-09,4.233140478153882e-09,0.0,0.902882012586693,0.042329283215655454,0.081411015686834,52.9547593920006,751
10,14598.681599999996,17598.681599999996,3000.0,4207795.625103494,6602.688021480557,13206.66325167228,4208104.203372927,6596.516532024472,13193.439442460449,0.06,0.161,0.15000000000000002,1.4143495052214914e-09,1.590101169771776e-10,8.585127099107801e-10,3.968266783335337e-10,2.7816474028726005e-10,0.0,0.504254631041615,0.031142839019048407,0.039458331382301454,54.121606603000146,750
11,17598.681599999996,20000.0,2401.3184000000037,4208104.203372927,6596.516532024472,13193.439442460449,4208427.607591613,6596.344464172495,13192.553970196508,0.06,0.161,0.15000000000000002,7.013342098196244e-10,5.873647122897725e-11,5.128875025957464e-10,1.2971023599490073e-10,1.1371552735646559e-10,0.0,0.3064093176256294,0.024051073898070745,0.0225375720013286,32.693553303000044,6
