window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.00000000000001,4993704.194531598,479.6903254188344,857.7476174830964,0.06,0.161,0.15000000000000002,3.934097041219095e-05,1.561275055063998e-05,6.143878807475763e-06,1.7584341054075206e-05,6.188730867880571e-07,0.0,0.5292221814932496,0.09055919541149553,0.1599486377232951,49.74924108400046,626
1,250.0,600.0,350.0,4993704.194531598,479.6903254188344,857.7476174830964,4943303.676545801,3588.2725343359707,6475.462431273182,0.06,0.161,0.15000000000000002,1.0021667226629609e-07,1.4599979989120236e-08,1.2285449156413062e-08,7.333124312076279e-08,3.0646418838005624e-08,0.0,0.09953526958939724,0.02379734271182312,0.08133629878905435,51.57317721999971,750
2,600.0,1090.0,490.0,4943303.676545801,3588.2725343359707,6475.462431273182,4475884.720216307,19107.73804274257,37546.475330302375,0.06,0.161,0.15000000000000002,7.44919377345523e-08,6.164581916870649e-09,3.323633747864582e-08,3.5091018339035835e-08,2.4443049824074597e-09,0.0,0.7320107488326169,0.3105671698147201,0.5480637342639967,52.442908769000496,750
3,1090.0,1776.0,686.0,4475884.720216307,19107.73804274257,37546.475330302375,4018765.1329817004,6771.280825806074,14104.356738141123,0.06,0.161,0.15000000000000002,2.4008143535586627e-08,1.1928639133391734e-08,3.9407325808779974e-09,8.138771821316895e-09,2.785340512901433e-09,0.0,4.538375634143823,0.14441755017267083,0.38614029984608855,52.00649864300067,750
4,1776.0,2736.3999999999996,960.3999999999996,4018765.1329817004,6771.280825806074,14104.356738141123,4300097.369971015,3547.0307007926563,7027.099501518428,0.06,0.161,0.15000000000000002,1.2019506251493127e-08,2.3877182881844417e-09,2.9345433669555928e-09,6.697244596353093e-09,4.5307004526288504e-10,0.0,2.0394019274691866,0.039198353934234376,0.10737879348831211,51.93630993400075,750
5,2736.3999999999996,4080.959999999999,1344.5599999999995,4300097.369971015,3547.0307007926563,7027.099501518428,4263292.5660903305,7774.079878737229,15571.510630590752,0.06,0.161,0.15000000000000002,1.273151295698797e-07,6.681940088384477e-08,1.2885078305000444e-08,4.7610650381034505e-08,5.577246573404788e-09,0.0,9.017181676373603,0.10675764005505432,0.4560650827338583,51.840398204998564,751
6,4080.959999999999,5963.343999999998,1882.383999999999,4263292.5660903305,7774.079878737229,15571.510630590752,4273221.634611545,5989.851224873209,11952.879911891141,0.06,0.161,0.15000000000000002,1.0181585078598396e-07,4.6484833167852594e-08,1.9114991806229474e-08,3.6216025811901895e-08,1.408198434495521e-07,0.0,8.349737452362726,0.15732722416263034,0.39767290787282794,49.67729307399895,751
7,5963.343999999998,8598.681599999996,2635.337599999998,4273221.634611545,5989.851224873209,11952.879911891141,4263336.975328781,6301.82997059807,12600.691907248472,0.06,0.161,0.15000000000000002,1.431120229529055e-07,5.871008926955344e-08,2.4868694007379908e-08,5.9533239675972157e-08,1.2087719014729713e-07,0.0,9.060738964084909,0.15362413058581792,0.4439206553680836,49.63051371199981,750
8,8598.681599999996,11598.681599999996,3000.0,4263336.975328781,6301.82997059807,12600.691907248472,4260438.491663225,6242.406016289513,12486.29605429502,0.06,0.161,0.15000000000000002,7.347628660053065e-09,4.645122434897847e-09,1.01875039472504e-09,1.6837558304301778e-09,5.088050564699206e-09,0.0,2.575974933072061,0.032246851345480006,0.07731500374590405,50.400241067000024,751
9,11598.681599999996,14598.681599999996,3000.0,4260438.491663225,6242.406016289513,12486.29605429502,4261212.967096797,6235.497909246973,12470.839106254663,0.06,0.161,0.15000000000000002,1.6490614183338612e-09,1.1170565699909014e-10,1.0534329963966398e-09,4.839227649381312e-10,3.758022803730902e-10,0.0,0.3994676008191397,0.03258138166881779,0.041169241931204,50.83341491200008,751
10,14598.681599999996,17598.681599999996,3000.0,4261212.967096797,6235.497909246973,12470.839106254663,4261394.145843217,6233.613291971281,12466.753135349223,0.06,0.161,0.15000000000000002,3.9100434696683637e-10,3.1884133008445584e-11,2.78706344718119e-10,8.041386924027177e-11,1.6564722131889365e-11,0.0,0.2133270266813778,0.016754567210059936,0.016768399586174595,50.58102935500028,750
11,17598.681599999996,20000.0,2401.3184000000037,4261394.145843217,6233.613291971281,12466.753135349223,4261106.454372583,6236.202131573138,12472.494061109868,0.06,0.161,0.15000000000000002,2.1717758767161943e-10,2.0796951310420123e-11,1.4808335759325036e-10,4.8297278767948945e-11,6.314468779443104e-11,0.0,0.17227325461320922,0.012215480230838443,0.012999127896101404,33.18497219799974,30
