regime,media_arg,seed,component,pinn_endpoint,rk4_endpoint,endpoint_abs_error,endpoint_rel_error
DFE,0,0,S,4999999.999997696,4999999.999995344,2.3515895009040833e-06,4.703179001812546e-13
DFE,0,0,E,1.2124362445040175e-09,3.415864834158631e-148,1.2124362445040175e-09,1.2124362445040175e-09
DFE,0,0,I,3.312824230916013e-09,1.0408099914459025e-147,3.312824230916013e-09,3.312824230916013e-09
DFE,0,1,S,4999999.999997701,4999999.999995344,2.3562461137771606e-06,4.712492227558709e-13
DFE,0,1,E,1.2140610217611646e-09,3.415864834158631e-148,1.2140610217611646e-09,1.2140610217611646e-09
DFE,0,1,I,3.3047473720839362e-09,1.0408099914459025e-147,3.3047473720839362e-09,3.3047473720839362e-09
DFE,0,2,S,4999999.999997684,4999999.999995344,2.339482307434082e-06,4.678964614872521e-13
DFE,0,2,E,1.2119374379385154e-09,3.415864834158631e-148,1.2119374379385154e-09,1.2119374379385154e-09
DFE,0,2,I,3.3154872823534124e-09,1.0408099914459025e-147,3.3154872823534124e-09,3.3154872823534124e-09
DFE,1e-6,0,S,4999999.999997687,4999999.999995344,2.3422762751579285e-06,4.684552550320219e-13
DFE,1e-6,0,E,1.2126864946813393e-09,3.414941713781719e-148,1.2126864946813393e-09,1.2126864946813393e-09
DFE,1e-6,0,I,3.316045348312405e-09,1.0405287177543935e-147,3.316045348312405e-09,3.316045348312405e-09
DFE,1e-6,1,S,4999999.999997704,4999999.999995344,2.3599714040756226e-06,4.71994280815564e-13
DFE,1e-6,1,E,1.2162689646231874e-09,3.414941713781719e-148,1.2162689646231874e-09,1.2162689646231874e-09
DFE,1e-6,1,I,3.3164167843013517e-09,1.0405287177543935e-147,3.3164167843013517e-09,3.3164167843013517e-09
DFE,1e-6,2,S,4999999.999997696,4999999.999995344,2.3515895009040833e-06,4.703179001812546e-13
DFE,1e-6,2,E,1.2167655085423994e-09,3.414941713781719e-148,1.2167655085423994e-09,1.2167655085423994e-09
DFE,1e-6,2,I,3.3123687198355287e-09,1.0405287177543935e-147,3.3123687198355287e-09,3.3123687198355287e-09
DFE,6e-6,0,S,4999999.999997701,4999999.999995344,2.3562461137771606e-06,4.712492227558709e-13
DFE,6e-6,0,E,1.2126810589565203e-09,3.410334182062649e-148,1.2126810589565203e-09,1.2126810589565203e-09
DFE,6e-6,0,I,3.310643796369009e-09,1.039124808266771e-147,3.310643796369009e-09,3.310643796369009e-09
DFE,6e-6,1,S,4999999.999997695,4999999.999995344,2.3506581783294678e-06,4.701316356663313e-13
DFE,6e-6,1,E,1.2140062588594115e-09,3.410334182062649e-148,1.2140062588594115e-09,1.2140062588594115e-09
DFE,6e-6,1,I,3.312207397131774e-09,1.039124808266771e-147,3.312207397131774e-09,3.312207397131774e-09
DFE,6e-6,2,S,4999999.999997682,4999999.999995344,2.337619662284851e-06,4.675239324574056e-13
DFE,6e-6,2,E,1.2110048878026292e-09,3.410334182062649e-148,1.2110048878026292e-09,1.2110048878026292e-09
DFE,6e-6,2,I,3.31250124778931e-09,1.039124808266771e-147,3.31250124778931e-09,3.31250124778931e-09
EE,0,0,S,4208427.607591613,4208610.995257292,-183.387665678747,-4.3574392094068e-05
EE,0,0,E,6596.344464172495,6596.359267790304,-0.01480361780977546,-2.244210360412113e-06
EE,0,0,I,13192.553970196508,13192.134854735521,0.4191154609870864,3.1770101321897753e-05
EE,0,1,S,4208303.234337716,4208610.995257292,-307.76091957557946,-7.312648280451603e-05
EE,0,1,E,6597.839002772106,6596.359267790304,1.479734981801812,0.00022432601405252207
EE,0,1,I,13195.74356932692,13192.134854735521,3.6087145913988934,0.00027355046253969194
EE,0,2,S,4208304.768314063,4208610.995257292,-306.2269432293251,-7.276199762211666e-05
EE,0,2,E,6591.152640172765,6596.359267790304,-5.206627617539198,-0.0007893183809685598
EE,0,2,I,13182.337252980933,13192.134854735521,-9.797601754587959,-0.0007426850818668639
EE,1e-6,0,S,4261087.533865512,4261137.065763711,-49.53189819864929,-1.1624103480879658e-05
EE,1e-6,0,E,6234.76803163461,6234.39547786124,0.37255377337078244,5.975780245153618e-05
EE,1e-6,0,I,12469.586901638668,12468.786268084876,0.8006335537920677,6.42110255623974e-05
EE,1e-6,1,S,4261106.454372583,4261137.065763711,-30.61139112804085,-7.183855073329931e-06
EE,1e-6,1,E,6236.202131573138,6234.39547786124,1.8066537118984343,0.00028978811471200115
EE,1e-6,1,I,12472.494061109868,12468.786268084876,3.7077930249924975,0.00029736599419327367
EE,1e-6,2,S,4261164.761105838,4261137.065763711,27.695342127233744,6.499519189315256e-06
EE,1e-6,2,E,6234.423141653718,6234.39547786124,0.02766379247805162,4.437285471588644e-06
EE,1e-6,2,I,12468.792311635529,12468.786268084876,0.006043550652975682,4.846943818777906e-07
EE,6e-6,0,S,4457510.259266385,4457312.980501367,197.27876501809806,4.425957205183913e-05
EE,6e-6,0,E,4789.79540667927,4789.952270055021,-0.1568633757506177,-3.2748421467843955e-05
EE,6e-6,0,I,9579.33771440377,9579.904540110223,-0.5668257064535283,-5.916819985838884e-05
EE,6e-6,1,S,4457305.233644949,4457312.980501367,-7.746856417506933,-1.7380104227357964e-06
