component,rel_l2,r2,rmse,nrmse,max_abs_error,regime,d,R0,m_label,m,seed,run_dir
S,2.2628882183726614e-07,0.999979062122806,1.1314050197466303,0.0014935904481304,4.697041253559291,DFE,0.1,0.5999999999999999,m=0,0.0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed0
E,0.0079716177830658,0.9999348317716726,0.0679872449845498,0.0003399362249227,0.7115064772712287,DFE,0.1,0.5999999999999999,m=0,0.0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed0
I,0.0103446144191304,0.9998884847048888,0.1712479396496436,0.0012001294262984,1.826033782655358,DFE,0.1,0.5999999999999999,m=0,0.0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed0
S,3.436888900029879e-07,0.9999517010785708,1.718385080727352,0.002268474593969,6.784425653517246,DFE,0.1,0.5999999999999999,m=0,0.0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
E,0.009739253485663,0.9999027265501408,0.0830628149411538,0.0004153140747057,0.843410677564421,DFE,0.1,0.5999999999999999,m=0,0.0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
I,0.0143020007401784,0.9997868430903512,0.2367597341370137,0.0016592452118358,2.515379481280064,DFE,0.1,0.5999999999999999,m=0,0.0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
S,2.0985433341579075e-07,0.9999819929600148,1.0492354165551967,0.0013851167076826,3.347113427706063,DFE,0.1,0.5999999999999999,m=0,0.0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed2
E,0.0084988697297407,0.9999259260806038,0.0724839993752731,0.0003624199968763,0.9748885394410536,DFE,0.1,0.5999999999999999,m=0,0.0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed2
I,0.0113787105086054,0.999865075157502,0.1883666854575945,0.001320099982601,1.9032766999163755,DFE,0.1,0.5999999999999999,m=0,0.0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed2
S,3.2474504907253093e-07,0.9999568673140792,1.6236691559518808,0.0021437233395449,8.97529807407409,DFE,0.1,0.5999999999999999,m=1e-6,1e-06,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed0
E,0.0092800777160773,0.99991168297275,0.0791409792108187,0.000395704896054,0.7874815831304112,DFE,0.1,0.5999999999999999,m=1e-6,1e-06,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed0
I,0.01346888113789,0.999810954101808,0.2229505917183366,0.0015624877692564,2.3749779449220227,DFE,0.1,0.5999999999999999,m=1e-6,1e-06,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed0
