regime,media_arg,seed,component,pinn_peak,rk4_peak,peak_rel_error,pinn_peak_time,rk4_peak_time,peak_time_error
DFE,0,0,E,199.99999999999997,200.0,-1.4210854715202004e-16,0.0,0.0,0.0
DFE,0,0,I,143.08405086262349,142.69122637699041,0.0027529687396142203,8.5,8.0,0.5
DFE,0,1,E,199.99999999999997,200.0,-1.4210854715202004e-16,0.0,0.0,0.0
DFE,0,1,I,142.88436800221984,142.69122637699041,0.0013535634259610983,8.5,8.0,0.5
DFE,0,2,E,199.99999999999997,200.0,-1.4210854715202004e-16,0.0,0.0,0.0
DFE,0,2,I,143.9232620639512,142.69122637699041,0.008634277791584362,9.0,8.0,1.0
DFE,1e-6,0,E,199.99999999999997,200.0,-1.4210854715202004e-16,0.0,0.0,0.0
DFE,1e-6,0,I,142.73546604587528,142.68949562686063,0.0003221710106458413,8.5,8.0,0.5
DFE,1e-6,1,E,199.99999999999997,200.0,-1.4210854715202004e-16,0.0,0.0,0.0
DFE,1e-6,1,I,143.19882024067957,142.68949562686063,0.003569461168682237,8.5,8.0,0.5
DFE,1e-6,2,E,199.99999999999997,200.0,-1.4210854715202004e-16,0.0,0.0,0.0
DFE,1e-6,2,I,143.5008668751305,142.68949562686063,0.005686271751857869,8.5,8.0,0.5
DFE,6e-6,0,E,199.99999999999997,200.0,-1.4210854715202004e-16,0.0,0.0,0.0
DFE,6e-6,0,I,143.21730348901002,142.68084556374828,0.00375984543084348,8.5,8.0,0.5
DFE,6e-6,1,E,199.99999999999997,200.0,-1.4210854715202004e-16,0.0,0.0,0.0
DFE,6e-6,1,I,142.6164843619022,142.68084556374828,-0.0004510850884839125,8.5,8.0,0.5
DFE,6e-6,2,E,199.99999999999997,200.0,-1.4210854715202004e-16,0.0,0.0,0.0
DFE,6e-6,2,I,144.61739023511197,142.68084556374828,0.01357256234158259,9.0,8.0,1.0
EE,0,0,E,26428.436590353038,26441.59092900368,-0.0004974866560019628,1151.74,1153.112,-1.372000000000071
EE,0,0,I,52678.26075905423,52715.378617654715,-0.0007041182207890199,1170.948,1173.692,-2.7439999999999145
EE,0,1,E,26454.573581720833,26441.59092900368,0.0004909936301492707,1151.74,1153.112,-1.372000000000071
EE,0,1,I,52721.70927725265,52715.378617654715,0.00012009132370752442,1170.948,1173.692,-2.7439999999999145
EE,0,2,E,26482.631379129187,26441.59092900368,0.0015521172775004978,1151.74,1153.112,-1.372000000000071
EE,0,2,I,52782.881507780454,52715.378617654715,0.0012805160827040341,1170.948,1173.692,-2.7439999999999145
EE,1e-6,0,E,19448.25254485397,19444.027867804492,0.00021727376026207644,1147.624,1147.624,0.0
EE,1e-6,0,I,38793.02997145534,38801.48459567772,-0.00021789434890133862,1165.46,1168.204,-2.7439999999999145
EE,1e-6,1,E,19462.408228830845,19444.027867804492,0.0009452959618921006,1146.252,1147.624,-1.372000000000071
EE,1e-6,1,I,38834.96286197256,38801.48459567772,0.0008628089013524805,1165.46,1168.204,-2.7439999999999145
EE,1e-6,2,E,19461.567445509238,19444.027867804492,0.0009020547503836528,1147.624,1147.624,0.0
EE,1e-6,2,I,38836.24320439932,38801.48459567772,0.0008958061549394622,1165.46,1168.204,-2.7439999999999145
EE,6e-6,0,E,8677.912187334572,8668.225177120032,0.0011175309843253062,1135.276,1136.648,-1.3719999999998436
EE,6e-6,0,I,17338.471037421972,17321.18290770214,0.0009980917476568737,1154.484,1157.228,-2.744000000000142
EE,6e-6,1,E,8671.153433464042,8668.225177120032,0.00033781498336468545,1136.648,1136.648,0.0
EE,6e-6,1,I,17326.718626590733,17321.18290770214,0.00031959242726616245,1157.228,1157.228,0.0
EE,6e-6,2,E,8671.26151651257,8668.225177120032,0.0003502838620935486,1140.764,1136.648,4.1159999999999854
EE,6e-6,2,I,17330.72169023256,17321.18290770214,0.0005507004100845217,1158.6,1157.228,1.3719999999998436
