window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals,regime,media_arg,seed,run_dir
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.0,4999280.765634349,0.8032728240565082,2.447234493729244,0.06,0.26,0.15,3.18002549028831e-05,3.718781698687178e-06,7.24917509230496e-06,2.0832298111890963e-05,8.168945071329365e-07,0.0,0.0765590223900658,0.0393206803181271,0.0690705630772436,50.66177405299999,627,DFE,0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed0
1,250.0,600.0,350.0,4999280.765634349,0.8032728240565082,2.447234493729244,4999486.688991034,0.0019630496684627,0.0059814062780582,0.06,0.26,0.15,2.1465111545668681e-07,3.4780927609354398e-09,4.9872006278443917e-08,1.613010164173074e-07,5.3337048143851326e-08,0.0,0.0021957773248331,1.3791031230144e-05,1.5037264022724633e-05,50.81603948700001,750,DFE,0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed0
2,600.0,1090.0,490.0,4999486.688991034,0.0019630496684627,0.0059814062780582,4999685.4377938025,4.384032831311801e-07,1.3354809645676632e-06,0.06,0.26,0.15,5.142183583678478e-07,3.057200167414062e-09,7.546801672816457e-08,4.356931414722692e-07,2.1178579592399498e-07,0.0,0.0013680069703578,2.3697116385102654e-08,5.8466609472673555e-08,50.53675063400004,750,DFE,0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed0
3,1090.0,1776.0,686.0,4999685.4377938025,4.384032831311801e-07,1.3354809645676632e-06,4999841.575468372,4.995373235740745e-09,1.3623847168854977e-08,0.06,0.26,0.15,7.426762311176971e-07,9.230662857850827e-10,4.391625344946006e-07,3.025906303373114e-07,5.1495129736436455e-08,0.0,0.0004071602306454,4.1837641183704886e-10,2.3324628126249503e-10,52.629315209000026,750,DFE,0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed0
4,1776.0,2736.4,960.3999999999996,4999841.575468372,4.995373235740745e-09,1.3623847168854977e-08,4999939.371244136,2.836273999262864e-09,7.74521377679013e-09,0.06,0.26,0.15,8.359195552942286e-08,4.981145267926746e-10,3.3640090690416963e-08,4.9453750312213215e-08,5.892929727644207e-10,0.0,0.000168438772691,4.712464750249033e-10,2.1166457175200838e-10,50.55668798100004,694,DFE,0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed0
5,2736.4,4080.959999999999,1344.5599999999995,4999939.371244136,2.836273999262864e-09,7.74521377679013e-09,4999984.19630478,2.093777832634469e-09,5.7105382089885795e-09,0.06,0.26,0.15,6.217628146098532e-08,6.965569543250713e-10,2.0415507716147597e-08,4.106421679051266e-08,2.0075173805899448e-10,0.0,7.992859239391845e-05,4.0365022614684204e-10,1.8513234136226355e-10,52.057648883999946,750,DFE,0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed0
6,4080.959999999999,5963.343999999998,1882.383999999999,4999984.19630478,2.093777832634469e-09,5.7105382089885795e-09,4999997.594972611,1.529093402708002e-09,4.181551987558567e-09,0.06,0.26,0.15,4.088433162500863e-08,8.720987235730668e-10,2.17299690120048e-08,1.8282263889430767e-08,1.0287278861535828e-09,0.0,2.018117734449325e-05,3.4609934416492705e-10,1.6099205115127531e-10,50.10865332499998,688,DFE,0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed0
7,5963.343999999998,8598.681599999996,2635.337599999998,4999997.594972611,1.529093402708002e-09,4.181551987558567e-09,4999999.827496832,1.105726409919192e-09,3.0285713062618023e-09,0.06,0.26,0.15,1.9332651476694893e-08,2.009903433918882e-09,1.1114526210417342e-08,6.2082218323586674e-09,6.338768742304189e-10,0.0,5.475574148637394e-06,2.971543297680757e-10,1.3947405816119627e-10,49.66567455800009,649,DFE,0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed0
8,8598.681599999996,11598.681599999996,3000.0,4999999.827496832,1.105726409919192e-09,3.0285713062618023e-09,4999999.991405426,9.872742472786355e-10,2.671062894555283e-09,0.06,0.26,0.15,4.1189517647680846e-08,6.849263209335633e-10,2.0475647859651e-08,2.002894346709628e-08,2.037395992797512e-09,0.0,2.2462520434661998e-07,2.8047708975074397e-10,1.317593574674751e-10,53.20849671600001,750,DFE,0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed0
9,11598.681599999996,14598.681599999996,3000.0,4999999.991405426,9.872742472786355e-10,2.671062894555283e-09,4999999.999571409,9.801896970446286e-10,2.6661486330248562e-09,0.06,0.26,0.15,3.1304506782078566e-08,3.2801178560447963e-10,1.0019614080164383e-08,2.09568809163097e-08,4.486607733202604e-10,0.0,5.800213059808291e-09,2.8069772396015293e-10,1.3192188162445934e-10,51.13878756899999,682,DFE,0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed0
10,14598.681599999996,17598.681599999996,3000.0,4999999.999571409,9.801896970446286e-10,2.6661486330248562e-09,4999999.9999784,9.794536137245696e-10,2.6648132524291757e-09,0.06,0.26,0.15,7.791709500836692e-08,9.3665380252596e-10,3.472655559921132e-08,4.2253885606629627e-08,9.63861656903707e-10,0.0,3.5883728584011087e-10,2.805001785402205e-10,1.318717883314106e-10,50.54472751100002,690,DFE,0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed0
11,17598.681599999996,20000.0,2401.318400000004,4999999.9999784,9.794536137245696e-10,2.6648132524291757e-09,4999999.999997696,1.2124362445040003e-09,3.312824230916013e-09,0.06,0.26,0.15,2.6339318839394395e-08,7.855998178031634e-10,8.433434801734387e-09,1.7120284219856843e-08,1.6006849853477267e-10,0.0,2.0056945200104448e-11,3.1004550062025667e-10,1.4500665394084758e-10,53.88135642299994,751,DFE,0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed0
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.0,4999281.990754702,0.7836234748627177,2.3904979725659823,0.06,0.26,0.15,3.591796290484095e-05,3.7927537019931034e-06,6.837231350315167e-06,2.5287977852532678e-05,3.997449840329587e-07,0.0,0.0718748116144152,0.0226773182519062,0.0793347924667055,49.95071998000003,626,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
1,250.0,600.0,350.0,4999281.990754702,0.7836234748627177,2.3904979725659823,4999487.693184594,0.0019250392474591,0.0058660640461203,0.06,0.26,0.15,1.127029267659814e-07,2.6096518127188595e-09,4.334819034514173e-08,6.67450846081208e-08,8.264745089715128e-08,0.0,0.0018837231442343,2.2287824388738828e-05,1.3846515628712002e-05,53.434334682999975,750,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
2,600.0,1090.0,490.0,4999487.693184594,0.0019250392474591,0.0058660640461203,4999686.21755929,4.306308186539919e-07,1.3115123806353294e-06,0.06,0.26,0.15,4.943470053811539e-07,9.548747871471129e-09,3.9633398969532986e-08,4.451648585401498e-07,1.72731476126434e-07,0.0,0.0022519022448334,1.3262190739228047e-08,6.977896975661206e-08,51.05401045700012,751,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
3,1090.0,1776.0,686.0,4999686.21755929,4.306308186539919e-07,1.3115123806353294e-06,4999841.983255149,4.994557835406376e-09,1.3608255092267177e-08,0.06,0.26,0.15,8.362164879695226e-07,7.169056011221298e-09,4.3777556342678506e-07,3.912718685315163e-07,6.375938223649216e-08,0.0,0.0012621869609707,4.184272834890299e-10,2.329389470065835e-10,52.57326168600002,750,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
4,1776.0,2736.4,960.3999999999996,4999841.983255149,4.994557835406376e-09,1.3608255092267177e-08,4999939.522923081,2.839846221484917e-09,7.747221621769626e-09,0.06,0.26,0.15,3.47290027055132e-08,7.259843807320158e-10,1.4616116527893752e-08,1.9386901796887427e-08,2.4128115735373783e-10,0.0,0.0001869806009058,4.71188414958516e-10,2.115900743948315e-10,54.02374774300006,750,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
5,2736.4,4080.959999999999,1344.5599999999995,4999939.522923081,2.839846221484917e-09,7.747221621769626e-09,4999984.234469637,2.093953245911681e-09,5.713508281913686e-09,0.06,0.26,0.15,6.938632405742249e-08,9.61542196087507e-10,2.9674812658810956e-08,3.8749969202524016e-08,6.811810694222901e-10,0.0,8.313755781273491e-05,4.0338886159850976e-10,1.851172124672508e-10,53.40091901100004,750,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
