regime,media_arg,component,n_seeds,peak_rel_error_mean,peak_rel_error_sd,peak_time_error_mean,peak_time_error_sd,pinn_peak_mean,pinn_peak_sd,rk4_peak_mean,rk4_peak_sd
DFE,0,E,3,-1.4210854715202004e-16,0.0,0.0,0.0,199.99999999999997,0.0,200.0,0.0
DFE,0,I,3,0.00424693665238656,0.003863438301790679,0.6666666666666666,0.28867513459481287,143.29722697626485,0.5512787493143491,142.69122637699041,0.0
DFE,1e-6,E,3,-1.4210854715202004e-16,0.0,0.0,0.0,199.99999999999997,0.0,200.0,0.0
DFE,1e-6,I,3,0.0031926346437286487,0.002701831390538518,0.5,0.0,143.14505105389512,0.3855229583847607,142.68949562686063,0.0
DFE,6e-6,E,3,-1.4210854715202004e-16,0.0,0.0,0.0,199.99999999999997,0.0,200.0,0.0
DFE,6e-6,I,3,0.005627107561314053,0.00719587886978511,0.6666666666666666,0.28867513459481287,143.48372602867474,1.0267140817152487,142.68084556374828,0.0
EE,0,E,3,0.0005152080838826019,0.0010250165002986013,-1.372000000000071,0.0,26455.21385040102,27.103066996374594,26441.59092900368,0.0
EE,0,I,3,0.00023216306187417957,0.0009970523484361849,-2.7439999999999145,0.0,52727.617181362446,52.55999204943527,52715.37861765471,8.911191772433732e-12
EE,1e-6,E,3,0.0006882081575126099,0.00040841382870621806,-0.45733333333335696,0.7921245693282075,19457.40940639802,7.941209866960435,19444.027867804492,0.0
EE,1e-6,I,3,0.0005135735691302013,0.0006336846147872912,-2.7439999999999145,0.0,38821.41201260908,24.587903819187048,38801.48459567772,0.0
EE,6e-6,E,3,0.0006018766099278467,0.00044661330433677773,0.9146666666667139,2.8560457512674633,8673.442379103728,3.871344689088828,8668.225177120032,0.0
EE,6e-6,I,3,0.000622794861669186,0.0003449471545101284,-0.4573333333334328,2.09576461782648,17331.97045141509,5.974892756761324,17321.18290770214,0.0
