regime,media_arg,component,h,rel_diff_h_vs_h2,rel_diff_h2_vs_h4,max_abs_diff_h_vs_h2,max_abs_diff_h2_vs_h4
DFE,0,S,0.4,1.852194396404815e-14,7.59077721308109e-14,2.898275852203369e-06,2.327375113964081e-06
DFE,0,E,0.4,9.340136893096114e-08,5.6079924826250396e-09,2.0479990482158428e-05,1.229656767520737e-06
DFE,0,I,0.4,3.928851552552914e-08,2.3589501545751596e-09,1.1201884092315595e-05,6.725807963903208e-07
DFE,1e-6,S,0.4,1.8560234519241003e-14,7.596183015812595e-14,2.896413207054138e-06,2.327375113964081e-06
DFE,1e-6,E,0.4,9.339913125759045e-08,5.607865195077787e-09,2.0478858658634636e-05,1.229590360196653e-06
DFE,1e-6,I,0.4,3.929314027056609e-08,2.35923124467374e-09,1.1202255507214431e-05,6.726040737703443e-07
DFE,6e-6,S,0.4,1.852321925575343e-14,7.599225321320578e-14,2.8870999813079834e-06,2.327375113964081e-06
DFE,6e-6,E,0.4,9.338794203953607e-08,5.607229018767596e-09,2.0473203868220935e-05,1.2292587285855916e-06
DFE,6e-6,I,0.4,3.931625044687937e-08,2.360638027957097e-09,1.1204110677454082e-05,6.727208301526844e-07
EE,0,S,0.4,1.610698822264868e-14,4.985418899759949e-15,1.4193356037139893e-06,9.12696123123169e-08
EE,0,E,0.4,1.3133471766354317e-11,8.054571362371159e-13,3.962654005817967e-06,2.410539536867873e-07
EE,0,I,0.4,6.104454510652858e-12,3.7326124208046486e-13,3.701784635268268e-06,2.2518494802170608e-07
EE,1e-6,S,0.4,2.4226016149375434e-14,6.121445241571584e-15,1.4258548617362976e-06,8.102506399154663e-08
EE,1e-6,E,0.4,1.4437150495351707e-11,8.808897259367057e-13,3.9615499929368525e-06,2.4098727635646355e-07
EE,1e-6,I,0.4,6.7164025421955176e-12,4.1925479542205675e-13,3.7017153147189674e-06,2.2518116793435183e-07
EE,6e-6,S,0.4,4.4496859495845594e-14,6.934621373703595e-14,1.4146789908409119e-06,1.383945345878601e-06
EE,6e-6,E,0.4,1.969497877361003e-11,1.344036048141737e-12,3.956035527608037e-06,2.406539465482638e-07
EE,6e-6,I,0.4,9.21593968342398e-12,8.179040997304512e-13,3.701368086694856e-06,2.2516297804031637e-07
