regime,media_arg,seed,n_windows,training_seconds,max_physics_loss,max_abs_rms_res_S_people_per_time,max_abs_rms_res_E_people_per_time,max_abs_rms_res_I_people_per_time,final_physics_loss
DFE,0,0,12,615.8059123500001,3.18002549028831e-05,0.0765590223900658,0.0393206803181271,0.0690705630772436,2.6339318839394395e-08
DFE,0,1,12,638.1549146710001,3.591796290484095e-05,0.0718748116144152,0.0226773182519062,0.0793347924667055,2.7022548687379672e-08
DFE,0,2,12,619.7829547719996,4.1934235701759416e-05,0.08844720705529,0.044857467413519,0.0811749857060128,4.7832730042620834e-08
DFE,1e-6,0,12,597.7507244060012,3.360736652878011e-05,0.111242666027365,0.0338742037261758,0.0670591257915795,3.174903029433572e-08
DFE,1e-6,1,12,651.2055572489999,2.5343162979581045e-05,0.0435266519910519,0.021887446902855,0.0688015194603275,2.9083545823965386e-08
DFE,1e-6,2,12,617.2396921579998,2.629186619566353e-05,0.0892208388790446,0.0215588017063409,0.066207895579363,5.677267152152595e-08
DFE,6e-6,0,12,627.9256154040022,2.8920059600101287e-05,0.0648508383342318,0.0329965683358903,0.0671360778356402,2.649855001401908e-08
DFE,6e-6,1,12,644.966732357002,1.458513261742714e-05,0.0519214402964669,0.0261674840786969,0.0463325198396492,3.4546481050393525e-08
DFE,6e-6,2,12,656.4045621679988,7.620000871652816e-05,0.1616754900143362,0.0547501010110412,0.0832258264953142,5.273645020321989e-08
EE,0,0,12,639.7333983610006,1.7777369209430826e-05,28.161870421086405,0.9216522783231093,1.3212998950243868,7.013342098196243e-10
EE,0,1,12,611.9376774720013,2.9109628438986297e-05,13.838641672798603,0.3890260465791211,0.7444749583041922,1.8225065574234659e-10
EE,0,2,12,621.5754819240019,3.5396403473699835e-05,12.335836913095225,0.3307307641434306,0.9643238768569052,1.3260486825473016e-09
EE,1e-6,0,12,613.3728949039987,2.237075966973516e-05,11.925236208755846,0.3044584398685278,0.599948492070289,3.8802396356246727e-10
EE,1e-6,1,12,593.8559981729995,3.934097041219095e-05,9.060738964084909,0.3105671698147201,0.5480637342639967,2.1717758767161943e-10
EE,1e-6,2,12,655.2906284439941,3.438700960613111e-05,14.600937241013131,0.2119364484960849,0.5887809842702051,6.326636017498692e-10
EE,6e-6,0,12,635.7449089880029,2.1120018693888693e-05,2.1626425133345,0.1880919267218018,0.3810452988819032,4.7257199548654e-10
EE,6e-6,1,12,584.7730010879986,6.453030170510536e-05,3.1928514888625013,0.1469268118648589,0.2559003182558429,1.7203482216171043e-10
EE,6e-6,2,12,615.7051021570023,3.9817552133094455e-05,2.589548831451487,0.1403838366424688,0.2068090941822074,9.911789714885951e-10
